signature,pval_KM,HZ_KM,n_low,n_high,HZ_strataLow,HZ_ChemotherapyYES,HZ_`Pam50 + Claudin-low subtype`claudin-low,HZ_`Pam50 + Claudin-low subtype`Her2,HZ_`Pam50 + Claudin-low subtype`LumA,HZ_`Pam50 + Claudin-low subtype`LumB,HZ_`Pam50 + Claudin-low subtype`NC,HZ_`Pam50 + Claudin-low subtype`Normal,pval_strataLow,pval_ChemotherapyYES,pval_`Pam50 + Claudin-low subtype`claudin-low,pval_`Pam50 + Claudin-low subtype`Her2,pval_`Pam50 + Claudin-low subtype`LumA,pval_`Pam50 + Claudin-low subtype`LumB,pval_`Pam50 + Claudin-low subtype`NC,pval_`Pam50 + Claudin-low subtype`Normal
MDA_5_vs_proxy_parental_DOWN_FC_0,1.78156459036468e-11,0.514413653132584,352,1628,0.802413618579377,2.08156451089646,0.636673881360299,1.31148728300083,0.467135637597058,1.0709360947849,1.23965399382374,0.758210304073499,0.0506753452466433,7.06372117404514e-13,0.0167989871091091,0.08536777004875,8.03427369968819e-06,0.648292407294531,0.766018884255026,0.190057766089653
HCC_2_vs_p-L_UP_FC_0,6.07524058815378e-15,0.508903908457119,788,1192,0.838629164238919,2.07624726084802,0.627537264720722,1.26081162963952,0.468164707443544,1.02949000770689,1.25296010436651,0.764917253392521,0.0991223445287324,1.08930478101803e-12,0.0132935508279902,0.132251390864233,1.34598753104814e-05,0.843929382316277,0.75527055727457,0.214979811280878
HCC_0_vs_p-L_UP_FC_0,7.215110085409e-15,0.507513147991134,858,1122,0.83435498900904,2.07498749971991,0.629027364248481,1.25002411824517,0.467666482333871,1.02489199424771,1.26115460216441,0.767080549899791,0.0933229472006246,1.12876970436971e-12,0.0138162030760957,0.145304384096493,1.1707943398977e-05,0.86750474189129,0.748518543360499,0.219848070446489
MDA_6_vs_proxy_parental_UP_FC_1,0.00394430138885008,0.507340766606911,43,1937,0.614977927819435,2.10870481221436,0.584293641173881,1.2352393593957,0.426269638222537,1.03818500653758,1.13183879272415,0.66654171188533,0.0470045666614774,2.59905810077681e-13,0.00326733157944357,0.166673552274524,9.86535490943446e-08,0.800896031628642,0.863325928201296,0.0439095135000774
HCC_7_vs_p-L_UP_FC_0,6.6197413198764e-15,0.506675848776411,625,1355,0.81753650219715,2.04204447432351,0.625528985866316,1.29057019782093,0.469316081723906,1.0428227773341,1.25517254775782,0.763565025896912,0.0515524886304702,5.60177473084804e-12,0.0118151185339492,0.10081569031663,9.6198082011589e-06,0.776938192654191,0.753072422986767,0.203004270868301
HCC_4_vs_p-L_UP_FC_0,5.69334156200462e-16,0.491816945485911,580,1400,0.814154011855708,2.05178501829757,0.63343687191952,1.28874391234672,0.475460949952312,1.05311536511333,1.26387942959447,0.775003038207832,0.0523200364464142,3.50801617182493e-12,0.0150564237397229,0.102403275019964,1.89279840152172e-05,0.72788714458504,0.745952025337054,0.235148076812972
MDA_11_vs_proxy_parental_DOWN_FC_0,1.27231934671623e-15,0.48983128358169,967,1013,0.811770017957181,2.0635519785401,0.635345158028943,1.25825048676076,0.477367968922694,1.02303535147885,1.24244186611061,0.786768371430145,0.0661821905528354,1.92697086748305e-12,0.0160416939317117,0.134279256980425,2.42210221136845e-05,0.877151587072648,0.763670014886989,0.272182036922529
MDA_0_vs_proxy_parental_DOWN_FC_0,1.47707528873624e-11,0.485396686415671,264,1716,0.726507066147511,2.11253957666094,0.68431384393392,1.40750602064216,0.503031757721047,1.15302623540872,1.33304284495774,0.813489258511986,0.0120087949527136,2.19695979132719e-13,0.0518044494419827,0.0374984723337522,0.000117299935493885,0.365995617825817,0.691243973018991,0.341231880523352
MDA_9_vs_proxy_parental_UP_FC_2,4.48800702495592e-07,0.485359684518302,124,1856,0.642226966326768,2.108443777644,0.612974908174536,1.27503867021379,0.445396274568681,1.053086494957,1.1910470864658,0.71010051736078,0.00303769354303014,2.44713015120269e-13,0.0077579017743259,0.113736979183659,5.44884009841339e-07,0.727519197340286,0.808116181196536,0.0909915786933343
HCC_p-H_vs_p-L_DOWN_FC_2,5.51194965143006e-17,0.484555058714483,791,1189,0.627708004046499,1.99336278529567,0.676840376076945,1.21620663301983,0.498775928755574,1.20265959474558,1.32228826366398,0.741357975298401,1.45784296445126e-06,2.15755067247626e-11,0.0346950568401919,0.198520752184149,2.11008952347481e-05,0.223581447847345,0.698073928231404,0.13892529663928
HCC_LM-H_vs_p-L_UP_FC_0,8.00493988816496e-17,0.48172170320228,890,1090,0.773787806054667,2.06478968916146,0.654726930737722,1.27014288814402,0.495378036587867,1.03217165123522,1.34912832240729,0.819061171297589,0.0213122692276465,1.40375562453542e-12,0.0251448899090992,0.119025727091683,6.43313983039469e-05,0.829837882441529,0.679417042830468,0.361699592628763
HCC_8_vs_p-L_UP_FC_0,7.28769559180448e-18,0.475909847548873,667,1313,0.782879993205832,2.02460458364034,0.630205848108285,1.3075413713533,0.492854857365935,1.06191667374749,1.31442358331179,0.798598148034853,0.0218028615971257,1.06433238360202e-11,0.0128672364140902,0.0845322040594393,5.6534837227682e-05,0.685911366198337,0.705497030988339,0.295533301779608
HCC_1_vs_p-L_UP_FC_0,2.88519133380482e-17,0.47473760717108,913,1067,0.746554399184677,2.05893808065634,0.669898379213927,1.27896256267444,0.505619427749904,1.0398127508313,1.39538287832289,0.845614351293265,0.00870921629316551,1.73358735875432e-12,0.0346039953441412,0.108645378286477,9.56450698607318e-05,0.791245278314698,0.645780617712179,0.444635506070511
HCC_LM-H_vs_LM-L_UP_FC_1,1.36060319107193e-18,0.468303493708072,665,1315,0.683924302921417,2.04294868634331,0.65109355500067,1.32807618353266,0.544030285179749,1.20734696173666,1.47041663021088,0.848458772269905,0.000225449559639659,3.09063821558171e-12,0.0200806191127943,0.0652023212358762,0.000504401939869648,0.222329709706201,0.594144231983136,0.434818498061101
HCC_6_vs_p-L_UP_FC_0,1.41062405458231e-18,0.467967971285607,643,1337,0.776410407391597,2.03771461898802,0.645319750987491,1.29329018838715,0.494619784043589,1.05571072025444,1.31736724548141,0.806514041956468,0.0181649353811153,5.12024395490277e-12,0.0195552404795522,0.0959473649650372,6.10093357555725e-05,0.714448016218073,0.703161152145448,0.319542667934223
MDA_4_vs_proxy_parental_UP_FC_2,0.0574336543282275,0.466760157587296,13,1967,0.428341520270219,2.14392403134747,0.572435498466022,1.23853460684876,0.426236017154841,1.03112821784822,1.1293360536895,0.687294358186801,0.0426751788776765,6.93267445007444e-14,0.00229783441419653,0.16218824030391,9.9224756177926e-08,0.836121559469797,0.865744965208114,0.0632562833016953
HCC_p-H_vs_p-L_UP_FC_1,1.0587751897076e-18,0.465856677832823,623,1357,0.600757460576537,2.07536270319917,0.62473897495878,1.41260744468522,0.605352490548226,1.36077132031351,1.2861982290322,0.948408906638208,1.78643193912117e-06,8.20942300471832e-13,0.0101432756760586,0.0259129677664603,0.0048175791629452,0.0534417768776707,0.726599906462976,0.804145218070617
HCC_3_vs_p-L_UP_FC_1,1.36500894363589e-18,0.465417820727573,833,1147,0.765471935434232,2.04717269777918,0.643289996559749,1.26206687899274,0.505073880844014,1.08620260716733,1.24888735479173,0.816733625319755,0.0136769360716249,3.1465261769593e-12,0.0180030932136591,0.128108219390009,0.000112897226201294,0.580668163982228,0.757810946398472,0.348054405825804
HCC_p-H_vs_p-L_UP_FC_0,5.27434426134046e-19,0.46140342587599,590,1390,0.742484466675954,2.0037996064358,0.651280085252518,1.31977811315971,0.498845558717505,1.05899223029567,1.33274752028055,0.819947603013161,0.00468363398040376,1.96995048674416e-11,0.0216903337868269,0.0735019235931525,5.3768958612465e-05,0.698403631050609,0.690978460378113,0.3534072069845
MDA_1_vs_proxy_parental_DOWN_FC_1,2.06439790301647e-18,0.461385611504958,911,1069,0.72189663487289,2.06320633945115,0.656868387700679,1.31101481700619,0.530378695692339,1.09624187642055,1.26059672586703,0.846898936874843,0.00250449656091887,1.25723632636669e-12,0.0239181261407024,0.0788044802239264,0.000338863071224031,0.537888955187974,0.747819338460913,0.437924798715639
